"","VE_susc","Label_testingDiff","t","t_highChange","NonCovid_propSympt","Covid_cumPropSymptInfect_highChange","VE_symptRR_observed","VE_symptOR_observed","VE_symptRR_degUnderNeg_highChange_trueVeff","VE_symptOR_degUnderNeg_highChange_trueVeff","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","totalNum_sims"
"53429",0.55,"highUnequal",76,76,0.05,0.08669,-0.0159849553361542,0.534291424669524,-0.565984955336154,-0.0157085753304761,1988,13011,100
"53772",0.55,"equal",68,68,0.05,0.10074,0.55860048259221,0.593646499930433,0.00860048259220947,0.0436464999304333,3606,11751,100
"54123",0.55,"modUnequal",68,68,0.05,0.10074,0.200686641697878,0.541267186759466,-0.349313358302122,-0.00873281324053388,2248,11751,100
"54474",0.55,"highUnequal",68,68,0.05,0.10074,-0.095849379546427,0.514883118679218,-0.645849379546427,-0.0351168813207825,1734,11751,100
"54826",0.55,"equal",69,69,0.05,0.08497,0.566382460414129,0.595468519789556,0.0163824604141292,0.0454685197895561,3783,12165,100
"55177",0.55,"modUnequal",69,69,0.05,0.08497,0.179723502304148,0.54141385443243,-0.370276497695852,-0.00858614556757031,2267,12165,100
"55528",0.55,"highUnequal",69,69,0.05,0.08497,-0.0787878787878786,0.536826215297239,-0.628787878787879,-0.0131737847027613,1741,12165,100
"55884",0.55,"equal",74,74,0.05,0.08997,0.561373225930188,0.584502127773569,0.011373225930188,0.0345021277735691,4042,12801,100
"56235",0.55,"modUnequal",74,74,0.05,0.08997,0.164108187134503,0.533373729026104,-0.385891812865497,-0.016626270973896,2382,12801,100
"56586",0.55,"highUnequal",74,74,0.05,0.08997,-0.0984630163304516,0.522720779874231,-0.648463016330452,-0.0272792201257692,1854,12801,100
"56936",0.55,"equal",73,73,0.05,0.11173,0.527986241400875,0.5671234443263,-0.0220137585991246,0.0171234443263004,3779,12362,100
"57287",0.55,"modUnequal",73,73,0.05,0.11173,0.134709085697908,0.523327040414395,-0.415290914302092,-0.026672959585605,2270,12362,100
"57638",0.55,"highUnequal",73,73,0.05,0.11173,-0.140967498110355,0.485817025402622,-0.690967498110355,-0.0641829745973782,1857,12362,100
"57993",0.55,"equal",77,77,0.05,0.10314,0.541966426858513,0.581922992946195,-0.00803357314148689,0.0319229929461951,3990,13114,100
"58344",0.55,"modUnequal",77,77,0.05,0.10314,0.206292668447611,0.561687624286838,-0.34370733155239,0.0116876242868381,2414,13114,100
"58695",0.55,"highUnequal",77,77,0.05,0.10314,-0.131133671742809,0.51482180085761,-0.681133671742809,-0.0351781991423898,1875,13114,100
"59044",0.55,"equal",75,75,0.05,0.10208,0.537667698658411,0.572223463449406,-0.0123323013415892,0.0222234634494058,3949,12804,100
"59395",0.55,"modUnequal",75,75,0.05,0.10208,0.166511627906977,0.532090407794076,-0.383488372093023,-0.017909592205924,2396,12804,100
"59746",0.55,"highUnequal",75,75,0.05,0.10208,-0.12,0.511377694470478,-0.67,-0.0386223055295221,1862,12804,100
"60092",0.55,"equal",70,70,0.05,0.0926,0.550479413423576,0.577466892791789,0.000479413423575825,0.0274668927917892,3815,12176,100
"60443",0.55,"modUnequal",70,70,0.05,0.0926,0.197381671701913,0.554064307577484,-0.352618328298087,0.00406430757748388,2255,12176,100
"60794",0.55,"highUnequal",70,70,0.05,0.0926,-0.0528401585204754,0.540333583878544,-0.602840158520475,-0.00966641612145613,1772,12176,100
"61149",0.55,"equal",74,74,0.05,0.09142,0.585903083700441,0.622652852923625,0.0359030837004405,0.0726528529236252,3895,12823,100
"61500",0.55,"modUnequal",74,74,0.05,0.09142,0.243460764587525,0.589015650480909,-0.306539235412475,0.0390156504809093,2322,12823,100
"61851",0.55,"highUnequal",74,74,0.05,0.09142,-0.110782865583456,0.525472312433426,-0.660782865583456,-0.0245276875665736,1826,12823,100
"62193",0.55,"equal",65,65,0.05,0.08562,0.544096582770616,0.581026308232103,-0.00590341722938414,0.0310263082321025,3517,11481,100
"62544",0.55,"modUnequal",65,65,0.05,0.08562,0.186564439576488,0.550240489716187,-0.363435560423512,0.000240489716187064,2116,11481,100
"62895",0.55,"highUnequal",65,65,0.05,0.08562,-0.125252525252525,0.503677485595437,-0.675252525252525,-0.0463225144045631,1688,11481,100
"63248",0.55,"equal",67,67,0.05,0.07541,0.557273366127899,0.5924482937327,0.00727336612789875,0.0424482937327004,3642,11869,100
"63599",0.55,"modUnequal",67,67,0.05,0.07541,0.20253164556962,0.552721641634254,-0.34746835443038,0.00272164163425404,2219,11869,100
"63950",0.55,"highUnequal",67,67,0.05,0.07541,-0.143375680580762,0.50927999689288,-0.693375680580762,-0.0407200031071198,1698,11869,100
"64306",0.55,"equal",72,72,0.05,0.09723,0.561760612386917,0.600359456884031,0.0117606123869172,0.0503594568840309,3786,12455,100
