VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,VE_symptOR_degUnderNeg_testSens,totalNum_sims
0.55,highUnequal,0.5,Highest Growth,-0.734539768,373,1325.5,5433,32793.5,-0.138739039,100
0.55,highUnequal,0.5,Peak,-0.681526104,830,2817.5,6012,34971.5,-0.133566756,100
0.55,equal,0.5,Highest Growth,-0.013421123,1253,1742,10415,32203,0.000365091,100
0.55,equal,0.5,Peak,-0.001083913,2083.5,2819.5,10747.5,33674.5,0.018098321,100
0.55,modUnequal,0.5,Highest Growth,-0.367840376,710,1742,6569,32203,-0.05048692,100
0.55,modUnequal,0.5,Peak,-0.358458781,1162.5,2819.5,6955.5,33674.5,-0.05096379,100
0.55,highUnequal,0.5,Highest Growth,-0.651834282,527,1742,5371,32203,-0.101310617,100
0.55,highUnequal,0.5,Peak,-0.654386996,851,2819.5,5752,33674.5,-0.115926799,100
0.55,equal,0.5,Highest Growth,0.020275822,1136,1464.5,11220,34323.5,0.028582725,100
0.55,equal,0.5,Peak,0.015939279,2108,2745,11443,35963,0.035661082,100
0.55,modUnequal,0.5,Highest Growth,-0.325483188,629.5,1464.5,7273.5,34323.5,-0.042998409,100
0.55,modUnequal,0.5,Peak,-0.326081425,1179,2745,7633,35963,-0.044160347,100
0.55,highUnequal,0.5,Highest Growth,-0.610079624,460.5,1464.5,5936.5,34323.5,-0.100045539,100
0.55,highUnequal,0.5,Peak,-0.621428571,854,2745,6385,35963,-0.120675814,100
0.55,equal,0.5,Highest Growth,0.005094705,1205.5,1609,10656.5,32734,0.015485433,100
0.55,equal,0.5,Peak,0.003750597,2093,2802,10981,34390,0.02252707,100
0.55,modUnequal,0.5,Highest Growth,-0.293874249,721,1609,6695,32734,-0.006428004,100
0.55,modUnequal,0.5,Peak,-0.320309278,1212.5,2802,7108.5,34390,-0.02767463,100
0.55,highUnequal,0.5,Highest Growth,-0.686299435,472,1609,5493,32734,-0.122037588,100
0.55,highUnequal,0.5,Peak,-0.610760931,880.5,2802,5947.5,34390,-0.100352629,100
0.55,equal,0.5,Highest Growth,0.011498065,1206,1586.5,10390,32004.5,0.022931766,100
0.55,equal,0.5,Peak,0.007818406,2160.5,2866,10772.5,33847,0.027799992,100
0.55,modUnequal,0.5,Highest Growth,-0.328268335,679.5,1586.5,6670.5,32004.5,-0.036628967,100
0.55,modUnequal,0.5,Peak,-0.331778505,1222,2866,7160,33847,-0.046132664,100
0.55,highUnequal,0.5,Highest Growth,-0.69095649,463.5,1586.5,5348.5,32004.5,-0.122020102,100
0.55,highUnequal,0.5,Peak,-0.656991116,863,2866,5861,33847,-0.125064992,100
0.55,equal,0.5,Highest Growth,0.012540297,1034,1357,10155,31267,0.023761158,100
0.55,equal,0.5,Peak,0.017548249,2098.5,2722.5,10660.5,33575.5,0.038078936,100
0.55,modUnequal,0.5,Highest Growth,-0.307677275,597,1357,6444,31267,-0.018462503,100
0.55,modUnequal,0.5,Peak,-0.305620316,1201,2722.5,6967,33575.5,-0.020379301,100
0.55,highUnequal,0.5,Highest Growth,-0.561931394,447,1357,5111,31267,-0.046240256,100
0.55,highUnequal,0.5,Peak,-0.568518519,891,2722.5,5659,33575.5,-0.06500019,100
0.55,equal,0.5,Highest Growth,0.010891089,1010,1330.5,10180,31073.5,0.018430137,100
0.55,equal,0.5,Peak,0.002806851,2102,2820,10726,33531,0.020851416,100
0.55,modUnequal,0.5,Highest Growth,-0.316637857,578.5,1330.5,6368.5,31073.5,-0.021366263,100
0.55,modUnequal,0.5,Peak,-0.335296575,1197,2820,6972,33531,-0.039853066,100
0.55,highUnequal,0.5,Highest Growth,-0.609737157,418.5,1330.5,5127.5,31073.5,-0.074608004,100
0.55,highUnequal,0.5,Peak,-0.627981651,872,2820,5751,33531,-0.104663369,100
0.55,equal,0.5,Highest Growth,-0.009873087,893,1232,10382,31651,-0.002535691,100
0.55,equal,0.5,Peak,-0.009181287,2137.5,2944.5,10963.5,34336.5,0.010156041,100
0.55,modUnequal,0.5,Highest Growth,-0.391530055,488,1232,6539,31651,-0.071572623,100
0.55,modUnequal,0.5,Peak,-0.370995399,1195.5,2944.5,7191.5,34336.5,-0.06585238,100
0.55,highUnequal,0.5,Highest Growth,-0.684438306,362,1232,5158,31651,-0.104620655,100
0.55,highUnequal,0.5,Peak,-0.64298441,898,2944.5,5891,34336.5,-0.112559186,100
0.55,equal,0.5,Highest Growth,-0.002092511,908,1231.5,10463,31923.5,0.005476942,100
0.55,equal,0.5,Peak,-0.008972486,2053.5,2827.5,10978.5,34384.5,0.010369111,100
0.55,modUnequal,0.5,Highest Growth,-0.351757813,512,1231.5,6514,31923.5,-0.040796785,100
0.55,modUnequal,0.5,Peak,-0.348728814,1180,2827.5,7188,34384.5,-0.05091722,100
0.55,highUnequal,0.5,Highest Growth,-0.637417219,377.5,1231.5,5232.5,31923.5,-0.084707403,100
0.55,highUnequal,0.5,Peak,-0.611373874,888,2827.5,5916,34384.5,-0.097841717,100
0.55,equal,0.5,Highest Growth,-0.009069021,934.5,1287,10662.5,32862,0.003147395,100
0.55,equal,0.5,Peak,-0.001515853,2160.5,2926.5,11091.5,35208.5,0.023285876,100
0.55,modUnequal,0.5,Highest Growth,-0.455063291,474,1287,6870,32862,-0.117626877,100
